0	5	70679
0	5	70680
0	4	70681
0	5	70682
0	5	70683
0	2	70684
0	1	70685
0	4	70686
0	5	70687
0	4	70688
0	4	70689
0	5	70690
0	4	70691
0	5	70692
0	5	70693
0	4	70694
0	5	70695
0	4	70696
0	1	70697
0	5	70698
0	4	70699
0	4	70700
0	4	70701
0	5	70702
0	5	70703
0	4	70704
0	5	70705
0	5	70706
0	4	70707
0	5	70708
0	2	70709
0	4	70710
1	2	70711
1	2	70712
1	3	70713
1	2	70714
2	5	70715
2	5	70716
2	5	70717
2	5	70718
2	4	70719
2	4	70720
2	4	70721
2	3	70722
2	3	70723
2	5	70724
2	4	70725
2	2	70726
2	5	70727
2	5	70728
2	2	70729
2	4	70730
3	5	70731
3	5	70732
3	5	70733
3	5	70734
3	5	70735
3	1	70736
3	5	70737
3	4	70738
3	5	70739
3	3	70740
3	1	70741
3	5	70742
3	4	70743
3	5	70744
3	5	70745
4	5	70746
4	4	70747
4	2	70748
4	4	70749
4	5	70750
4	4	70751
4	5	70752
4	5	70753
4	5	70754
4	4	70755
4	5	70756
4	5	70757
4	4	70758
4	4	70759
4	5	70760
4	4	70761
4	4	70762
4	5	70763
4	5	70764
4	5	70765
4	4	70766
4	5	70767
4	2	70768
4	5	70769
4	4	70770
4	5	70771
4	2	70772
4	5	70773
4	4	70774
4	1	70775
4	4	70776
4	4	70777
4	4	70778
4	5	70779
4	5	70780
4	4	70781
4	4	70782
4	5	70783
4	5	70784
4	5	70785
4	5	70786
4	5	70787
4	3	70788
4	4	70789
4	4	70790
4	4	70791
4	5	70792
4	4	70793
4	5	70794
4	5	70795
4	5	70796
4	5	70797
4	4	70798
4	5	70799
4	4	70800
4	3	70801
4	5	70802
4	5	70803
4	4	70804
4	5	70805
4	4	70806
4	4	70807
4	4	70808
4	2	70809
4	4	70810
4	2	70811
4	4	70812
4	4	70813
4	4	70814
4	5	70815
4	4	70816
4	3	70817
4	4	70818
4	2	70819
4	4	70820
4	5	70821
4	5	70822
4	5	70823
4	5	70824
4	5	70825
4	5	70826
4	4	70827
4	4	70828
4	2	70829
4	5	70742
4	4	70830
4	5	70831
4	2	70832
4	5	70833
4	5	70834
4	4	70835
4	5	70836
4	4	70837
4	4	70838
4	3	70839
4	2	70840
4	5	70841
4	4	70842
4	5	70843
4	5	70844
4	4	70845
4	2	70846
4	4	70847
4	5	70848
4	3	70849
4	3	70850
4	5	70851
4	4	70852
4	5	70853
4	3	70854
4	4	70855
4	5	70856
4	4	70857
4	4	70858
4	5	70859
4	4	70860
4	4	70861
4	4	70862
4	4	70863
4	3	70864
4	4	70865
4	3	70866
4	4	70867
4	5	70868
4	4	70869
4	4	70870
4	2	70871
4	5	70872
4	5	70873
4	5	70874
4	3	70875
4	5	70876
4	5	70877
4	5	70878
4	4	70879
5	1	70880
5	5	70881
5	5	70882
5	2	70883
5	4	70884
5	4	70885
5	5	70886
5	5	70887
5	3	70888
5	1	70702
5	4	70889
5	2	70890
5	2	70891
5	2	70892
5	4	70893
5	5	70821
5	5	70771
5	1	70894
5	4	70895
5	5	70896
5	4	70897
5	4	70898
5	4	70899
5	4	70900
5	4	70901
5	1	70902
5	3	70903
5	5	70904
5	4	70905
5	2	70906
5	4	70907
5	4	70908
5	2	70909
5	3	70910
5	4	70911
5	3	70912
5	2	70913
5	4	70914
5	4	70915
5	4	70916
5	3	70917
5	5	70918
5	5	70919
5	3	70920
5	4	70921
5	4	70922
5	1	70923
5	3	70924
5	4	70925
5	3	70926
5	4	70927
5	3	70928
5	3	70929
5	2	70930
5	3	70931
5	2	70932
5	4	70933
5	3	70934
5	3	70935
5	2	70936
5	5	70937
5	4	70938
5	3	70939
5	4	70940
5	2	70941
5	5	70942
5	4	70943
5	5	70944
5	4	70945
5	1	70946
5	5	70947
5	5	70948
5	5	70949
5	5	70950
5	5	70951
5	3	70952
5	4	70953
5	5	70954
5	4	70955
5	5	70956
5	5	70957
5	2	70958
5	4	70959
5	4	70960
5	4	70961
5	2	70962
5	5	70963
5	5	70964
5	5	70965
5	5	70966
5	4	70967
5	4	70968
5	2	70969
5	4	70970
5	3	70971
5	3	70972
5	4	70973
5	5	70974
5	3	70975
5	5	70976
5	4	70977
5	3	70800
5	4	70978
5	4	70979
5	3	70980
5	3	70981
5	1	70982
5	5	70983
5	5	70984
5	5	70985
5	5	70986
5	3	70987
5	5	70988
5	3	70989
5	2	70990
5	5	70991
5	5	70992
5	3	70993
5	5	70994
5	5	70995
5	5	70996
6	5	70997
6	5	70998
6	5	70999
6	2	71000
6	4	71001
6	5	71002
6	2	71003
6	4	71004
6	5	71005
6	2	71006
6	5	71007
6	5	71008
6	2	71009
6	5	71010
6	5	71011
6	5	71012
7	4	71013
7	3	71014
7	4	71015
7	2	71016
7	5	71017
7	5	71018
7	4	71019
7	5	71020
7	4	70900
7	5	71021
7	4	71022
7	4	71023
7	4	71024
7	5	71025
7	5	71026
7	5	71027
7	4	71028
7	2	71029
7	5	71030
7	4	71031
7	3	71032
7	4	71033
7	4	71034
7	5	71035
7	5	71036
7	4	71037
7	4	71038
7	4	71039
7	5	71040
7	4	71041
7	4	71042
7	4	71043
7	4	71044
7	4	71045
7	4	71046
7	4	71047
7	4	71048
7	2	71049
7	5	71050
7	3	71051
7	4	71052
7	3	71053
7	3	71054
7	5	71055
7	4	71056
7	4	71057
7	4	71058
7	4	71059
7	4	71060
7	5	71061
7	4	71062
7	4	71063
8	4	71064
8	5	71065
8	5	71066
8	4	71067
9	5	71068
9	5	71069
9	4	71070
9	4	71071
